MCC,Description,Required Abbreviation (Payment Brand) M,Required Abbreviation (Payment Brand) V,Valid Payment Brand(s)
3136,Qatar Airways,QATAR AIR,QATAR AIR,"V, M"
3137,Singleton,SINGLETONAIR,SINGLETONAIR,V
3138,Simmons Airlines,SIMMONS AIR,SIMMONS AIR,V
3143,Scenic Airlines,SCENIC AIR,SCENIC AIR,V
3144,Virgin Atlantic,VIR ATL,VIRGINATLAIR,"V, M"
3145,San Juan,SAN JUAN AIR,SAN JUAN AIR,V
3146,Luxair,LUXAIR,LUXAIR,"V, M"
3148,Air Littoral S.A.,LITTORAL,AIRLITTORAL,"V, M"
3151,Air Zaire,AIRZAIRE,AIR ZAIRE,"V, M"
3154,Princeville,PRINCVLLEAIR,PRINCVLLEAIR,V
3156,Go Fly Ltd.,GOFLY,GOFLY,"V, M"
3159,Provincetown-Boston Airways,PBA,PBA AIRLINE,"V, M"
3161,All Nipon Airways,ANAAIR,ANA AIR,"V, M"
3164,Norontair,NORONTAI,NORONTAIR,"V, M"
3165,New York Helicopter,NY HELI,NY HELI,V
3167,Aero Continente,AERO CONT,AEROCONTINEN,"V, M"
3170,Mount Cook,MT COOK AIR,MT COOK AIR,V
3171,Canadian Airlines International,CANADIAN,CANADIAN AIR,"V, M"
3172,Nationair,NATIONAI,NATIONAIR,"V, M"
3174,Jetblue Airways,JETBLUE,JETBLUE,"V, M"
3175,Middle East Air,MIDEASTA,MIDEAST AIR,"V, M"
3176,Metroflight Airlines,METROFLT AIR,METROFLT AIR,V
3177,AirTran Airways,AIRTRAN A,AIRTRANAIR,"V, M"
3178,Mesa Air,MESA AIR,MESA AIR,"V, M"
3180,Westjet Airlines,WESTJET,WESTJETAIR,"V, M"
3181,Malev,MALEV,MALEV AIR,"V, M"
3182,LOT (Polish Airlines),LOT,LOT AIR,"V, M"
3183,Oman Air,OMAN AIR,OMANAIR,"V, M"
3184,LIAT,LIAT,LIAT AIRLINE,"V, M"
3185,Linea Aeropostal Venezolana (LAV),LAV,LAV AIR,"V, M"
3186,Lineas Aereas Paraguayas (LAP),LAP,LAP AIR,"V, M"
3187,LACSA (Costa Rica),LACSA,LACSA AIR,"V, M"
3188,Virgin Express,VIR EXP,VIRGINEXPAIR,"V, M"
3190,Jugoslav Air,JUGOSLAV,JUGOSLAV AIR,"V, M"
3191,Island Airlines,ISLANDAI,ISLAND AIR,"V, M"
3193,Indian Airlines,INDIAN A,INDIAN AIR,"V, M"
3196,Hawaiian Air,HAWAIIAN,HAWAIIAN AIR,"V, M"
3197,Havasu Airlines,HAVASUAI,HAVASU AIR,"V, M"
3200,Guyana Airways,GUYANA A,GUYANA AIR,"V, M"
3203,Golden Pacific Air,GOLDPAC AIR,GOLDPAC AIR,V
3204,Freedom Airlines,FREEDO,FREEDOM AIR,"V, M"
3206,China Eastern Airlines,CHINAEAST,CHINAEASTAIR,"V, M"
3211,Norwegian Air Shuttle,NORWEGIAN,NORWEGIANAIR,"V, M"
3212,Dominicana De Aviacion,DOMINICA,DOMINICA AIR,"V, M"
3213,Malmo Aviation,MALMO AV,MALMO AIR,"V, M"
3215,Dan Air Services,DANAIRSER,DANAIRSER,V
3216,Cumberland Airlines,CUMBERLNDAIR,CUMBERLNDAIR,V
3217,Ceskoslovenske Aerolinie (CSA),CSA,CSA AIRLINE,"V, M"
3218,Crown Air,CROWN AIR,CROWN AIR,V
3219,Compania Panamena De Aviacion (COPA),COPA,COPA AIR,"V, M"
3220,Compania Faucett,COMPANIA,COMP FAU AIR,"V, M"
3221,Transportes Aeros Militares,TAME AIR,TAME AIRLINE,"V, M"
3222,Command Airways,COMMAND,COMMAND AIR,"V, M"
3223,Comair,COMAIR,COMAIR,"V, M"
3226,Skyways,SKYWAYS,SKYWAYS AIR,"V, M"
3228,Cayman Airways,CAYMANAIR,CAYMANAIR,"V, M"
3229,SAETA (Sociedad Ecuatorianos De Transportes Aereos),SAETAAIR,SAETA AIR,"V, M"
3231,SAHSA (Servicio Aero De Honduras),SAHSA,SAHSA AIR,"V, M"
3233,Capitol Air,CAPITOL AIR,CAPITOL AIR,V
3234,Caribbean Airlines,CARIBBEAN,CARIBBEANAIR,"V, M"
3235,Brockway Air,BROCKWAY AIR,BROCKWAY AIR,V
3236,Air Arabia Airline,AIR ARAB,AIR ARABIA,"V, M"
3238,Bemidji Aviation,BEMIDJI AIR,BEMIDJI AIR,V
3239,Bar Harbor Airlines,BARHARBO,BARHARBORAIR,"V, M"
3240,Bahamasair,BAHAMASA,BAHAMASAIR,"V, M"
3241,Aviateca,AVIATECA,AVIATECA AIR,"V, M"
3242,Avensa,AVENSA,AVENSA AIR,"V, M"
3243,Austrian Air Service,AUSTRAIR,AUST AIRSER,"V, M"
3245,Easyjet Air,EASYJET,EASYJET AIR,"V, M"
3246,Ryanair,RYANAIR,RYANAIR,"V, M"
3247,Gol Airlines,GOL,GOL AIR,"V, M"
3248,Tam Airlines,TA,TAM AIR,"V, M"
